id,firstname,lastname,email,score,date_of_birth,university
4661,Genevra,Mendez,Genevra.Mendez@mymail.com,1.36,1913-08-04,Girne American University
4662,Christal,Chem,Christal.Chem@mymail.com,2.27,2003-02-14,Webster University Geneva (Geneva campus)
4663,Valli,Bennie,Valli.Bennie@mymail.com,5.39,1941-04-19,Saint Louis University (Madrid campus)
4664,Gwenneth,Braun,Gwenneth.Braun@mymail.com,2.76,1914-01-05,New York University (Florence campus)
4665,Stephanie,Pattin,Stephanie.Pattin@mymail.com,4.93,1959-09-09,John Cabot University
4666,Libbie,Magnolia,Libbie.Magnolia@mymail.com,5.46,1958-03-06,Temple University (Rome campus)
4667,Tybie,Korey,Tybie.Korey@mymail.com,1.95,1900-08-07,Franklin University Switzerland
4668,Celisse,Rocray,Celisse.Rocray@mymail.com,5.27,1988-08-08,New York University (Florence campus)
4669,Audrie,Seumas,Audrie.Seumas@mymail.com,1.75,1909-07-20,St. John's University (Paris campus)
4670,Loree,Even,Loree.Even@mymail.com,5.82,1944-11-17,Rochester Institute of Technology (Dubai campus)
4671,Jenda,Peti,Jenda.Peti@mymail.com,10.81,1944-01-03,American College of Greece
4672,Ann-Marie,Hartnett,Ann-Marie.Hartnett@mymail.com,5.36,1988-05-05,Hellenic American University
4673,Ira,Burnside,Ira.Burnside@mymail.com,8.05,1968-11-03,American College of Thessaloniki (ACT)
4674,Basia,Anestassia,Basia.Anestassia@mymail.com,9.14,2006-10-19,American College Dublin
4675,Therine,Eben,Therine.Eben@mymail.com,1.65,1959-12-12,American College of Greece
4676,Lorenza,Weitman,Lorenza.Weitman@mymail.com,6.45,1969-12-11,American University of Sharjah
4677,Shell,McGrody,Shell.McGrody@mymail.com,7.02,1982-11-09,Keiser University (Latin American campus)
4678,Willetta,Papageno,Willetta.Papageno@mymail.com,9.69,1982-01-06,New York University (Buenos Aires campus)
4679,Kore,Pozzy,Kore.Pozzy@mymail.com,4.38,1949-12-13,Girne American University
4680,Perry,Kevon,Perry.Kevon@mymail.com,9.31,1942-01-14,New York University (Buenos Aires campus)
4681,Jackie,Milde,Jackie.Milde@mymail.com,8.02,1967-10-22,Lakeland University (Japan campus)
4682,Ilse,Auberbach,Ilse.Auberbach@mymail.com,9.43,1971-10-04,The American University in Cairo
4683,Moyna,Dosia,Moyna.Dosia@mymail.com,4.22,1986-08-14,New York University (Florence campus)
4684,Zondra,Kussell,Zondra.Kussell@mymail.com,5.67,1988-10-06,Lebanese American University
4685,Dorothy,Morrill,Dorothy.Morrill@mymail.com,7.93,1993-03-21,American University of Beirut
4686,Eadie,Cassius,Eadie.Cassius@mymail.com,3.36,1937-12-22,Keiser University (Latin American campus)
4687,Brynna,Aurelio,Brynna.Aurelio@mymail.com,5.68,1990-08-16,St. John's University (Italy campus)
4688,Mildrid,Eachern,Mildrid.Eachern@mymail.com,9.23,1995-02-13,United States International University
4689,Ellette,Bibi,Ellette.Bibi@mymail.com,2.9,1936-02-15,United States International University
4690,Di,McLaughlin,Di.McLaughlin@mymail.com,2.08,1979-10-30,Saint Louis University (Madrid campus)
4691,Hallie,Henrie,Hallie.Henrie@mymail.com,1.27,1965-07-07,American University in Bosnia and Herzegovina
4692,Madalyn,Firmin,Madalyn.Firmin@mymail.com,10.62,1926-01-29,Rochester Institute of Technology (Dubai campus)
4693,Tabbatha,Tatianas,Tabbatha.Tatianas@mymail.com,8.28,1924-09-20,The American University in Cairo
4694,Briney,Cecile,Briney.Cecile@mymail.com,2.36,1964-02-22,McDaniel College Budapest
4695,Lexine,Fadiman,Lexine.Fadiman@mymail.com,1.35,1950-09-04,American University in Bosnia and Herzegovina
4696,Codie,Quinn,Codie.Quinn@mymail.com,3.29,1953-05-13,Keiser University (Latin American campus)
4697,Tani,Malina,Tani.Malina@mymail.com,8.79,1903-02-11,St. John's University (Paris campus)
4698,Minne,Deegan,Minne.Deegan@mymail.com,1.33,1965-05-11,American University of Sharjah
4699,Jobi,Vivle,Jobi.Vivle@mymail.com,10.97,2004-10-10,United States International University
4700,Dawn,Vanni,Dawn.Vanni@mymail.com,3.44,1909-07-13,St. John's University (Paris campus)
4701,Devina,Johnsson,Devina.Johnsson@mymail.com,3.59,1990-08-23,American University of Rome
4702,Kirstin,Arne,Kirstin.Arne@mymail.com,6.54,2017-09-01,American College of Greece
4703,Adele,Dex,Adele.Dex@mymail.com,7.73,2017-05-13,United States International University
4704,Arlina,Earlie,Arlina.Earlie@mymail.com,8.35,1935-12-25,McDaniel College Budapest
4705,Marleah,Loeb,Marleah.Loeb@mymail.com,7.36,1907-03-30,American University of Armenia
4706,Leanna,Zachary,Leanna.Zachary@mymail.com,6.99,1918-11-26,John Cabot University
4707,Evaleen,Brieta,Evaleen.Brieta@mymail.com,10.61,1956-10-07,Kean University (Wenzhou campus)
4708,Glenda,Iphlgenia,Glenda.Iphlgenia@mymail.com,4.94,2013-11-04,Richmond The American International University in London
4709,Beatriz,Bettine,Beatriz.Bettine@mymail.com,6.67,1920-08-28,The American University in Cairo
4710,Patricia,Brunell,Patricia.Brunell@mymail.com,3.42,1986-07-14,American University of Paris
4711,Corry,Nore,Corry.Nore@mymail.com,9.23,1923-01-12,New York University (Abu Dhabi campus)
4712,Viki,Morgun,Viki.Morgun@mymail.com,2.81,1987-10-08,American University of Paris
4713,Sybille,Kress,Sybille.Kress@mymail.com,8.54,1954-02-18,Lebanese American University
4714,Cherrita,Sidonius,Cherrita.Sidonius@mymail.com,5.11,1934-09-03,American College of Greece
4715,Oona,Sheng,Oona.Sheng@mymail.com,5.39,1932-08-05,American University of Armenia
4716,Jackie,Haldas,Jackie.Haldas@mymail.com,9.01,1927-05-24,University of Maryland Global Campus
4717,Sallie,Ball,Sallie.Ball@mymail.com,3.87,1960-10-19,Webster University Geneva (Geneva campus)
4718,Dode,Girardo,Dode.Girardo@mymail.com,3.8,1977-08-10,Lakeland University (Japan campus)
4719,Ebonee,Cressida,Ebonee.Cressida@mymail.com,3.58,1934-01-11,American University of Nigeria
4720,Monika,Ries,Monika.Ries@mymail.com,9.37,2010-01-16,American University in Dubai
4721,Rozele,Camden,Rozele.Camden@mymail.com,1.11,1958-09-08,St. John's University (Italy campus)
4722,Gusty,My,Gusty.My@mymail.com,6.9,1917-07-01,George Mason University (Incheon campus)
4723,Giustina,Bari,Giustina.Bari@mymail.com,4.84,2007-02-13,American College of Thessaloniki (ACT)
4724,Judy,Faso,Judy.Faso@mymail.com,7.58,1901-11-16,American University of Armenia
4725,Brianna,Ashely,Brianna.Ashely@mymail.com,10.95,1934-09-22,Hult International Business School
4726,Valeda,Masao,Valeda.Masao@mymail.com,2.15,1983-02-17,American University of Antigua
4727,Bill,Faro,Bill.Faro@mymail.com,6.53,1978-11-24,New York University (Florence campus)
4728,Tobe,Wittie,Tobe.Wittie@mymail.com,2.23,1924-06-15,Lakeland University (Japan campus)
4729,Yetty,Armanda,Yetty.Armanda@mymail.com,1.81,2008-11-22,Temple University (Japan campus)
4730,Alyda,Sheng,Alyda.Sheng@mymail.com,9.2,1905-07-29,Richmond The American International University in London
4731,Lizzie,Sandye,Lizzie.Sandye@mymail.com,9.47,1915-02-01,Temple University (Japan campus)
4732,Glenda,Celestine,Glenda.Celestine@mymail.com,7.7,1942-12-23,American University in Bosnia and Herzegovina
4733,Diena,Malanie,Diena.Malanie@mymail.com,8.64,2016-12-10,Temple University (Japan campus)
4734,Aurelie,Chem,Aurelie.Chem@mymail.com,5.38,1925-11-30,Temple University (Japan campus)
4735,Elsie,Berne,Elsie.Berne@mymail.com,1.16,1939-11-19,American College of Greece
4736,Lindie,Iiette,Lindie.Iiette@mymail.com,9.57,1953-02-14,RIT Kosovo / American University in Kosovo
4737,Chere,Campball,Chere.Campball@mymail.com,7.01,1908-01-13,John Cabot University
4738,Minda,Belldas,Minda.Belldas@mymail.com,7.37,1952-08-11,American University of Antigua
4739,Louella,Colleen,Louella.Colleen@mymail.com,8.05,1903-09-03,American InterContinental University
4740,Clo,LaRue,Clo.LaRue@mymail.com,5.58,1927-04-12,Webster University Geneva (Geneva campus)
4741,Lilith,Ardeha,Lilith.Ardeha@mymail.com,8.44,1917-11-02,Hult International Business School
4742,Ada,Flyn,Ada.Flyn@mymail.com,6.44,1983-09-02,John Cabot University
4743,Aryn,Rogerio,Aryn.Rogerio@mymail.com,1.92,1972-05-28,Saint Louis University (Madrid campus)
4744,Lyssa,Hanshaw,Lyssa.Hanshaw@mymail.com,5.29,1945-12-29,University of Utah (Incheon campus)
4745,Wendi,Marlie,Wendi.Marlie@mymail.com,2.97,1952-12-31,Lebanese American University
4746,Marsiella,Fleeta,Marsiella.Fleeta@mymail.com,1.12,1918-09-04,Kean University (Wenzhou campus)
4747,Daphne,Abram,Daphne.Abram@mymail.com,10.76,1917-01-13,New York University (Florence campus)
4748,Vevay,Desai,Vevay.Desai@mymail.com,10.81,1982-08-14,American University of Rome
4749,Nanete,Riordan,Nanete.Riordan@mymail.com,3.63,1956-04-22,The American University in Cairo
4750,Micheline,Toffic,Micheline.Toffic@mymail.com,5.31,2016-03-15,George Mason University (Incheon campus)
4751,Silvana,Azeria,Silvana.Azeria@mymail.com,7.04,2004-09-08,American University of Rome
4752,Tersina,Ailyn,Tersina.Ailyn@mymail.com,6.3,1920-11-18,Kean University (Wenzhou campus)
4753,Miquela,Minetta,Miquela.Minetta@mymail.com,7.85,2004-10-23,The American University in Cairo
4754,Corly,Schwejda,Corly.Schwejda@mymail.com,6.38,1934-11-13,American University of Rome
4755,Meg,Dorine,Meg.Dorine@mymail.com,5.66,1927-12-10,Hellenic American University
4756,Kristina,Kesley,Kristina.Kesley@mymail.com,1.96,1971-07-13,American University in Bulgaria
4757,Mary,Hunfredo,Mary.Hunfredo@mymail.com,8.12,2015-08-25,American InterContinental University
4758,Cassandra,Melleta,Cassandra.Melleta@mymail.com,7.76,1918-03-08,Central European University
4759,Cathyleen,Rese,Cathyleen.Rese@mymail.com,6.67,1972-06-16,American College of Greece
4760,Eve,Suk,Eve.Suk@mymail.com,10.81,2004-01-09,Kean University (Wenzhou campus)
4761,Lory,Ricarda,Lory.Ricarda@mymail.com,6.7,1959-08-31,Saint Louis University (Madrid campus)
4762,Teddie,Holtz,Teddie.Holtz@mymail.com,2.19,1955-02-27,Temple University (Japan campus)
4763,Berget,Dielu,Berget.Dielu@mymail.com,9.84,1907-12-19,Franklin University Switzerland
4764,Aubrie,Joachim,Aubrie.Joachim@mymail.com,1.2,1917-12-26,Lebanese American University
4765,Dawn,Federica,Dawn.Federica@mymail.com,5.91,1913-01-18,American College of Greece
4766,Rayna,Lanita,Rayna.Lanita@mymail.com,5.68,1971-06-25,Central European University
4767,Kaia,Donell,Kaia.Donell@mymail.com,8.39,1992-05-15,United States International University
4768,Olwen,Gabrielli,Olwen.Gabrielli@mymail.com,1.65,1961-04-19,Temple University (Rome campus)
4769,Doro,Franza,Doro.Franza@mymail.com,10.02,1999-09-12,Keiser University (Latin American campus)
4770,Charlena,Reneta,Charlena.Reneta@mymail.com,5.27,1982-10-24,American University of Armenia
4771,Joy,Crudden,Joy.Crudden@mymail.com,10.81,2012-03-30,Hellenic American University
4772,Roxane,Tomasina,Roxane.Tomasina@mymail.com,8.65,1934-12-19,New York University (Buenos Aires campus)
4773,Dorice,Edee,Dorice.Edee@mymail.com,3.29,1994-08-09,The American University in Cairo
4774,Flo,Magdalen,Flo.Magdalen@mymail.com,2.24,1907-03-10,Webster University Geneva (Geneva campus)
4775,Marita,Plato,Marita.Plato@mymail.com,1.25,1946-03-31,American College Dublin
4776,Jere,Dom,Jere.Dom@mymail.com,1.01,2007-12-13,St. John's University (Paris campus)
4777,Lindie,Liva,Lindie.Liva@mymail.com,3.39,1993-12-05,Webster University Geneva (Geneva campus)
4778,Dominga,Drisko,Dominga.Drisko@mymail.com,6.94,2002-08-02,American College of Greece
4779,Sadie,Borrell,Sadie.Borrell@mymail.com,5.05,1987-07-08,American College Dublin
4780,Lisette,Fulmer,Lisette.Fulmer@mymail.com,1.5,2014-02-26,McDaniel College Budapest
4781,Tobe,Graig,Tobe.Graig@mymail.com,9.7,2014-01-16,American University in Dubai
4782,Corene,Erskine,Corene.Erskine@mymail.com,9.79,2019-08-15,New York University (Buenos Aires campus)
4783,Paola,Wu,Paola.Wu@mymail.com,6.43,1940-04-09,New York University (Abu Dhabi campus)
4784,Devina,Tufts,Devina.Tufts@mymail.com,3.08,1911-10-03,American College of Greece
4785,Claudina,Edvard,Claudina.Edvard@mymail.com,2.03,1996-02-13,Franklin University Switzerland
4786,Georgetta,Dudley,Georgetta.Dudley@mymail.com,4.83,1921-12-27,American University of Beirut
4787,Karly,Lail,Karly.Lail@mymail.com,7.15,1949-07-14,United States International University
4788,Sean,Aida,Sean.Aida@mymail.com,10.23,1928-09-16,John Cabot University
4789,Gertrud,Lunsford,Gertrud.Lunsford@mymail.com,9.98,1978-12-21,Girne American University
4790,Gerianna,Lubin,Gerianna.Lubin@mymail.com,8.35,1980-08-05,Kean University (Wenzhou campus)
4791,Maye,Roscoe,Maye.Roscoe@mymail.com,5.19,1976-02-04,American University in Dubai
4792,Bill,Howlyn,Bill.Howlyn@mymail.com,8.58,2018-11-27,George Mason University (Incheon campus)
4793,Andeee,Barney,Andeee.Barney@mymail.com,2.01,1989-12-06,McDaniel College Budapest
4794,Rani,Alva,Rani.Alva@mymail.com,9.84,1988-04-14,University of Utah (Incheon campus)
4795,Harmonia,Simmonds,Harmonia.Simmonds@mymail.com,9.58,1985-08-09,American College of Greece
4796,Audrie,Ehrman,Audrie.Ehrman@mymail.com,6.04,1996-02-17,New York University (Abu Dhabi campus)
4797,Ariela,Roarke,Ariela.Roarke@mymail.com,3.14,1917-08-03,American University in Dubai
4798,Celene,Bibi,Celene.Bibi@mymail.com,4.01,1981-07-20,Webster University Geneva (Geneva campus)
4799,Susan,Martsen,Susan.Martsen@mymail.com,6.93,1974-02-24,Lebanese American University
4800,Rubie,Hurley,Rubie.Hurley@mymail.com,6.38,2001-12-14,St. John's University (Italy campus)
4801,Kara-Lynn,Tyson,Kara-Lynn.Tyson@mymail.com,3.21,1909-03-23,The American University in Cairo
4802,Anestassia,Diogenes,Anestassia.Diogenes@mymail.com,3.13,1922-07-23,Franklin University Switzerland
4803,Raf,Jess,Raf.Jess@mymail.com,5.74,1907-04-01,Richmond The American International University in London
4804,Rosabelle,Noman,Rosabelle.Noman@mymail.com,2.42,1980-01-08,The American University in Cairo
4805,Flory,Alcott,Flory.Alcott@mymail.com,5.29,2010-02-22,American InterContinental University
4806,Kristina,Nelsen,Kristina.Nelsen@mymail.com,7.07,2007-05-01,American University in Bosnia and Herzegovina
4807,Adele,Jeanne,Adele.Jeanne@mymail.com,2.63,1904-01-05,American University of Rome
4808,Deloria,Bivins,Deloria.Bivins@mymail.com,9.93,1971-07-15,Stony Brook University (Korea campus)
4809,Lacie,Romelda,Lacie.Romelda@mymail.com,7.4,1971-04-26,American University of Sharjah
4810,Charissa,Bivins,Charissa.Bivins@mymail.com,10.54,2019-01-23,Temple University (Japan campus)
4811,Betta,Creamer,Betta.Creamer@mymail.com,1.18,1989-04-04,St. John's University (Paris campus)
4812,Neila,Rosemary,Neila.Rosemary@mymail.com,5.34,1902-03-22,United States International University
4813,Nelle,Kelula,Nelle.Kelula@mymail.com,7.03,2007-07-07,American College Dublin
4814,Lelah,Braun,Lelah.Braun@mymail.com,3.7,1913-10-28,American University of Armenia
4815,Odessa,Allare,Odessa.Allare@mymail.com,9.58,1954-07-16,Temple University (Japan campus)
4816,Chastity,Sabella,Chastity.Sabella@mymail.com,10.97,1921-08-02,Girne American University
4817,Tierney,Hartnett,Tierney.Hartnett@mymail.com,7.25,1991-02-16,Saint Louis University (Madrid campus)
4818,Tarra,Lipson,Tarra.Lipson@mymail.com,3.3,1981-03-11,Richmond The American International University in London
4819,Deloria,Bultman,Deloria.Bultman@mymail.com,1.49,1945-09-02,University of Utah (Incheon campus)
4820,Esmeralda,Read,Esmeralda.Read@mymail.com,2.51,1986-11-11,St. John's University (Paris campus)
4821,Dacia,Wenoa,Dacia.Wenoa@mymail.com,3.74,1937-05-03,American University of Beirut
4822,Minne,Harriman,Minne.Harriman@mymail.com,2.86,2007-06-04,Franklin University Switzerland
4823,Steffane,Chick,Steffane.Chick@mymail.com,9.83,1926-07-31,American University in Bosnia and Herzegovina
4824,Nyssa,Odysseus,Nyssa.Odysseus@mymail.com,10.87,2005-02-01,New York University (Abu Dhabi campus)
4825,Basia,Clie,Basia.Clie@mymail.com,7.06,1923-12-16,American College of Thessaloniki (ACT)
4826,Carmela,Caitlin,Carmela.Caitlin@mymail.com,3.48,1908-02-29,Schiller International University
4827,Sissy,Giule,Sissy.Giule@mymail.com,10.42,1944-01-22,American University of Antigua
4828,Hermione,Talia,Hermione.Talia@mymail.com,5.2,1946-03-07,Schiller International University
4829,Nyssa,Pattin,Nyssa.Pattin@mymail.com,3.74,1996-04-15,American University of Beirut
4830,Dyann,Cottle,Dyann.Cottle@mymail.com,4.43,2001-10-15,American College Dublin
4831,Tami,Thema,Tami.Thema@mymail.com,4.24,1940-02-03,American University of Armenia
4832,Audrie,Sholley,Audrie.Sholley@mymail.com,8.65,2011-09-17,The American University in Cairo
4833,Carmencita,Palocz,Carmencita.Palocz@mymail.com,5.49,1900-09-18,Stony Brook University (Korea campus)
4834,Aurelie,Chem,Aurelie.Chem@mymail.com,1.02,1911-03-06,Keiser University (Latin American campus)
4835,Vevay,Wandie,Vevay.Wandie@mymail.com,2.3,1909-10-13,American InterContinental University
4836,Cecile,Ruvolo,Cecile.Ruvolo@mymail.com,9.53,2009-03-11,Temple University (Japan campus)
4837,Aili,Gibbeon,Aili.Gibbeon@mymail.com,4.55,1927-01-08,Lebanese American University
4838,Marnia,Caitlin,Marnia.Caitlin@mymail.com,5.5,1952-05-28,New York University (Florence campus)
4839,Pollyanna,Aprile,Pollyanna.Aprile@mymail.com,5.97,1975-07-29,New York University (Buenos Aires campus)
4840,Celisse,Anderea,Celisse.Anderea@mymail.com,10.85,1943-08-04,American University of Antigua
4841,Valli,Holtz,Valli.Holtz@mymail.com,1.27,1950-11-04,New York University (Florence campus)
4842,Latisha,Lunsford,Latisha.Lunsford@mymail.com,9.79,2011-08-18,Keiser University (Latin American campus)
4843,Agnese,Elephus,Agnese.Elephus@mymail.com,7.42,1968-10-16,Lakeland University (Japan campus)
4844,Chickie,Constancy,Chickie.Constancy@mymail.com,6.28,1982-08-20,American University of Paris
4845,Ekaterina,Mott,Ekaterina.Mott@mymail.com,8.75,1949-02-01,Richmond The American International University in London
4846,Margette,Wittie,Margette.Wittie@mymail.com,4.94,1919-05-27,American InterContinental University
4847,Binny,Anton,Binny.Anton@mymail.com,3.36,2017-06-23,American College Dublin
4848,Kirstin,Eiser,Kirstin.Eiser@mymail.com,3.56,1947-05-15,American University of Paris
4849,Brana,Mallon,Brana.Mallon@mymail.com,7.1,2019-01-18,Girne American University
4850,Alexine,Gunn,Alexine.Gunn@mymail.com,3.32,1994-08-24,Hult International Business School
4851,Allyce,Rooney,Allyce.Rooney@mymail.com,1.4,1905-10-16,American University of Antigua
4852,Mignon,Bendick,Mignon.Bendick@mymail.com,9.62,1938-05-07,American College Dublin
4853,Mireielle,Anastatius,Mireielle.Anastatius@mymail.com,10.01,1980-02-09,Hult International Business School
4854,Jenilee,Camden,Jenilee.Camden@mymail.com,6.75,2001-02-21,John Cabot University
4855,Inga,McAdams,Inga.McAdams@mymail.com,4,1977-07-28,American University of Rome
4856,Kimmy,Bohlin,Kimmy.Bohlin@mymail.com,8.82,1934-01-22,St. John's University (Italy campus)
4857,Hermione,Cleo,Hermione.Cleo@mymail.com,9.27,1968-05-13,American College of Greece
4858,Henriette,Garbe,Henriette.Garbe@mymail.com,2.87,1918-03-09,University of Utah (Incheon campus)
4859,Lizzie,Ackerley,Lizzie.Ackerley@mymail.com,3.62,1991-03-22,New York University (Buenos Aires campus)
4860,Charlena,Natica,Charlena.Natica@mymail.com,1.66,1929-10-18,American College of Thessaloniki (ACT)
4861,Ida,Richers,Ida.Richers@mymail.com,1.45,1984-12-14,George Mason University (Incheon campus)
4862,Willetta,Rurik,Willetta.Rurik@mymail.com,8.01,2004-11-21,American College of Thessaloniki (ACT)
4863,Gwyneth,Sisile,Gwyneth.Sisile@mymail.com,9.66,1904-08-02,Temple University (Rome campus)
4864,Lexine,Toor,Lexine.Toor@mymail.com,9.71,1928-09-04,Schiller International University
4865,Merle,Vorster,Merle.Vorster@mymail.com,1.88,1923-11-23,George Mason University (Incheon campus)
4866,Tersina,Calhoun,Tersina.Calhoun@mymail.com,6.01,1916-11-08,United States International University
4867,Amalie,O'Rourke,Amalie.O'Rourke@mymail.com,9.71,1917-03-15,George Mason University (Incheon campus)
4868,Aaren,Nester,Aaren.Nester@mymail.com,4.53,1917-10-08,American University of Rome
4869,Corina,Muriel,Corina.Muriel@mymail.com,3.88,1989-08-23,McDaniel College Budapest
4870,Margarette,Rebecka,Margarette.Rebecka@mymail.com,7.39,1950-11-19,Temple University (Rome campus)
4871,Karina,Gemini,Karina.Gemini@mymail.com,9.45,1950-11-28,St. John's University (Italy campus)
4872,Kassey,Ambrosia,Kassey.Ambrosia@mymail.com,3.49,2012-07-11,Kean University (Wenzhou campus)
4873,Oralee,Thomasina,Oralee.Thomasina@mymail.com,2.01,2017-10-12,Lebanese American University
4874,Sophia,Craggie,Sophia.Craggie@mymail.com,2.6,1988-08-20,American University of Beirut
4875,Ardeen,Noam,Ardeen.Noam@mymail.com,6.07,1961-04-18,American University in Dubai
4876,Fidelia,Darbie,Fidelia.Darbie@mymail.com,10.49,1991-08-12,American University in Bosnia and Herzegovina
4877,Lynea,Camden,Lynea.Camden@mymail.com,10.78,1914-10-13,Girne American University
4878,Florencia,Harned,Florencia.Harned@mymail.com,5.28,2010-12-08,New York University (Buenos Aires campus)
4879,Tilly,Ophelia,Tilly.Ophelia@mymail.com,3.25,1904-04-26,American University of Armenia
4880,Jaclyn,Stacy,Jaclyn.Stacy@mymail.com,6.9,1916-10-30,American College Dublin
4881,Margette,Brackely,Margette.Brackely@mymail.com,4.74,1904-04-12,New York University (Florence campus)
4882,Celestyna,Roumell,Celestyna.Roumell@mymail.com,7.85,1910-06-28,United States International University
4883,Hallie,Merna,Hallie.Merna@mymail.com,2.08,1938-10-09,American University of Armenia
4884,Gui,Pip,Gui.Pip@mymail.com,2.13,1978-04-20,Temple University (Japan campus)
4885,Kylynn,Connelly,Kylynn.Connelly@mymail.com,3.34,1955-01-13,American University in Dubai
4886,Gabriellia,Sisile,Gabriellia.Sisile@mymail.com,7.01,1978-10-23,American InterContinental University
4887,Cyndie,Ramona,Cyndie.Ramona@mymail.com,2.61,1989-07-29,Central European University
4888,Noelle,Hepsibah,Noelle.Hepsibah@mymail.com,6.66,1936-01-23,Hellenic American University
4889,Minne,Cressida,Minne.Cressida@mymail.com,10.93,1939-05-07,George Mason University (Incheon campus)
4890,Dorothy,Urania,Dorothy.Urania@mymail.com,3.16,1911-08-25,George Mason University (Incheon campus)
4891,Konstance,Docilla,Konstance.Docilla@mymail.com,1.01,1999-05-18,American University in Bosnia and Herzegovina
4892,Kirbee,Abernon,Kirbee.Abernon@mymail.com,8.51,2003-02-22,John Cabot University
4893,Mireielle,Khorma,Mireielle.Khorma@mymail.com,1.12,2016-04-04,Hellenic American University
4894,Darlleen,Nelsen,Darlleen.Nelsen@mymail.com,4.64,1958-10-24,RIT Kosovo / American University in Kosovo
4895,Roberta,Tybald,Roberta.Tybald@mymail.com,7.36,1972-11-07,Central European University
4896,Blinni,Klotz,Blinni.Klotz@mymail.com,7.99,1945-12-01,University of Maryland Global Campus
4897,Concettina,Leffen,Concettina.Leffen@mymail.com,9.61,1971-05-14,Kean University (Wenzhou campus)
4898,Ninnetta,Olin,Ninnetta.Olin@mymail.com,5.56,1959-01-27,Hellenic American University
4899,June,Jagir,June.Jagir@mymail.com,1.79,1914-02-06,American InterContinental University
4900,Jinny,Karl,Jinny.Karl@mymail.com,5.35,1957-01-19,American College of Thessaloniki (ACT)
4901,Wilma,Roarke,Wilma.Roarke@mymail.com,2.88,1971-08-21,American University in Dubai
4902,Rori,Teddman,Rori.Teddman@mymail.com,5.18,2018-12-08,Schiller International University
4903,Ariela,Read,Ariela.Read@mymail.com,10.55,1913-03-28,American University in Dubai
4904,Orsola,Skurnik,Orsola.Skurnik@mymail.com,9.82,1977-01-19,University of Utah (Incheon campus)
4905,Carree,Whittaker,Carree.Whittaker@mymail.com,7.31,1944-03-27,Lakeland University (Japan campus)
4906,Myriam,Aloise,Myriam.Aloise@mymail.com,2.34,1980-04-30,American University of Armenia
4907,Raquela,Teddman,Raquela.Teddman@mymail.com,2.57,1939-11-08,McDaniel College Budapest
4908,Vanessa,Philipp,Vanessa.Philipp@mymail.com,2.77,1927-08-30,American University in Dubai
4909,Gale,Bates,Gale.Bates@mymail.com,7.89,1913-12-26,St. John's University (Italy campus)
4910,Damaris,Kylander,Damaris.Kylander@mymail.com,4.25,1961-01-17,Schiller International University
4911,Brietta,Chobot,Brietta.Chobot@mymail.com,4.18,1902-10-16,Rochester Institute of Technology (Dubai campus)
4912,Shell,Evangelia,Shell.Evangelia@mymail.com,10.59,1957-10-21,American University of Antigua
4913,Helena,Holbrook,Helena.Holbrook@mymail.com,1.97,1910-11-09,American College of Greece
4914,Ana,Phi,Ana.Phi@mymail.com,6.73,1989-08-06,Temple University (Rome campus)
4915,Olwen,Joseph,Olwen.Joseph@mymail.com,3.87,2007-12-17,McDaniel College Budapest
4916,Bobinette,Shirberg,Bobinette.Shirberg@mymail.com,8.15,2006-12-10,New York University (Florence campus)
4917,Nonnah,Margarete,Nonnah.Margarete@mymail.com,4.97,1967-04-27,American InterContinental University
4918,Ira,Tound,Ira.Tound@mymail.com,9.13,1947-05-05,Kean University (Wenzhou campus)
4919,Aimil,Tristram,Aimil.Tristram@mymail.com,5.65,2001-08-20,New York University (Buenos Aires campus)
4920,Lulita,Arathorn,Lulita.Arathorn@mymail.com,7.02,1972-10-21,American InterContinental University
4921,Lorne,Yuille,Lorne.Yuille@mymail.com,9.59,2001-10-22,Saint Louis University (Madrid campus)
4922,Carol-Jean,Terencio,Carol-Jean.Terencio@mymail.com,1.92,1906-07-09,American University of Armenia
4923,Alejandra,Dominy,Alejandra.Dominy@mymail.com,10.76,1957-12-21,Temple University (Japan campus)
4924,Alleen,Weinreb,Alleen.Weinreb@mymail.com,7.87,1950-05-04,Girne American University
4925,Allis,Gahl,Allis.Gahl@mymail.com,2.9,1932-02-08,American University of Sharjah
4926,Sibella,McClimans,Sibella.McClimans@mymail.com,5.79,2006-09-04,New York University (Abu Dhabi campus)
4927,Justinn,Fontana,Justinn.Fontana@mymail.com,2.05,1979-09-26,American University in Bosnia and Herzegovina
4928,Talya,McLaughlin,Talya.McLaughlin@mymail.com,8.3,1941-03-25,American College Dublin
4929,Collen,Timon,Collen.Timon@mymail.com,8.12,1905-02-08,American University of Beirut
4930,Kassey,Wittie,Kassey.Wittie@mymail.com,2.05,1945-10-20,University of Utah (Incheon campus)
4931,Suzette,Anestassia,Suzette.Anestassia@mymail.com,4.35,2004-05-09,New York University (Florence campus)
4932,Atlanta,Ackerley,Atlanta.Ackerley@mymail.com,9.68,2008-12-27,Schiller International University
4933,Kamilah,Vharat,Kamilah.Vharat@mymail.com,9.87,1905-05-12,Hult International Business School
4934,Helsa,Callista,Helsa.Callista@mymail.com,4.67,2015-09-12,American University in Bulgaria
4935,Danny,Hailee,Danny.Hailee@mymail.com,5.17,1972-06-17,Lakeland University (Japan campus)
4936,Vinita,Sigfrid,Vinita.Sigfrid@mymail.com,6.03,1965-02-27,Lebanese American University
